material_id,cif,formation_energy_per_atom,total_magnetization
1076360,"# generated using pymatgen
data_RbCrO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.94693000
_cell_length_b   3.94693000
_cell_length_c   3.94693000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   RbCrO3
_chemical_formula_sum   'Rb1 Cr1 O3'
_cell_volume   61.48628763
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Rb  Rb0  1  0.50000000  0.50000000  0.50000000  1
  Cr  Cr1  1  0.00000000  0.00000000  0.00000000  1
  O  O2  1  0.50000000  0.00000000  0.00000000  1
  O  O3  1  0.00000000  0.50000000  0.00000000  1
  O  O4  1  0.00000000  0.00000000  0.50000000  1
",-1.557712125,0.9996848
5777,"# generated using pymatgen
data_BaTiO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.98333387
_cell_length_b   4.05734264
_cell_length_c   4.05734236
_cell_angle_alpha   90.25451682
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BaTiO3
_chemical_formula_sum   'Ba1 Ti1 O3'
_cell_volume   65.57310742
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  0.00000000  0.00341385  0.99658615  1
  Ti  Ti1  1  0.50000000  0.51850382  0.48149618  1
  O  O2  1  0.50000000  0.49135190  0.02157433  1
  O  O3  1  0.50000000  0.97842567  0.50864810  1
  O  O4  1  0.00000000  0.48820476  0.51179524  1
",-3.492277978,0.0
19157,"# generated using pymatgen
data_LaMnO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.47748262
_cell_length_b   5.54643807
_cell_length_c   5.54619979
_cell_angle_alpha   60.06374090
_cell_angle_beta   59.73993498
_cell_angle_gamma   59.73897774
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LaMnO3
_chemical_formula_sum   'La2 Mn2 O6'
_cell_volume   118.73020526
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La  La0  1  0.75000772  0.75288193  0.74710440  1
  La  La1  1  0.24999228  0.24711807  0.25289560  1
  Mn  Mn2  1  0.50000000  0.50000000  0.50000000  1
  Mn  Mn3  1  0.00000000  -0.00000000  -0.00000000  1
  O  O4  1  0.23909313  0.68132818  0.26440797  1
  O  O5  1  0.26099473  0.23575347  0.81854695  1
  O  O6  1  0.76090687  0.31867182  0.73559203  1
  O  O7  1  0.73900527  0.76424653  0.18145305  1
  O  O8  1  0.24999965  0.80747327  0.69250905  1
  O  O9  1  0.75000035  0.19252673  0.30749095  1
",-2.997132545,8.0128607
19115,"# generated using pymatgen
data_CaFeO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.29247074
_cell_length_b   5.32339252
_cell_length_c   7.48776665
_cell_angle_alpha   90.00018674
_cell_angle_beta   89.99978053
_cell_angle_gamma   89.99997506
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CaFeO3
_chemical_formula_sum   'Ca4 Fe4 O12'
_cell_volume   210.95958245
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.50648454  0.53518040  0.75000277  1
  Ca  Ca1  1  0.49351554  0.46481573  0.24999700  1
  Ca  Ca2  1  0.99351563  0.03519345  0.75000173  1
  Ca  Ca3  1  0.00648470  0.96480720  0.24999817  1
  Fe  Fe4  1  0.49999903  0.99999854  0.49999974  1
  Fe  Fe5  1  0.49999884  0.99999847  0.00000031  1
  Fe  Fe6  1  -0.00000043  0.50000101  0.00000010  1
  Fe  Fe7  1  -0.00000062  0.50000110  0.50000004  1
  O  O8  1  0.21561022  0.21560560  0.03252130  1
  O  O9  1  0.21562318  0.21560083  0.46748103  1
  O  O10  1  0.71563870  0.28442824  0.96747985  1
  O  O11  1  0.78437652  0.78439867  0.53251902  1
  O  O12  1  0.28436794  0.71558919  0.46747878  1
  O  O13  1  0.78438947  0.78439376  0.96747875  1
  O  O14  1  0.43779575  0.99049502  0.74999275  1
  O  O15  1  0.93780225  0.50950754  0.24998808  1
  O  O16  1  0.06220136  0.49049496  0.75001278  1
  O  O17  1  0.71563230  0.28441126  0.53252103  1
  O  O18  1  0.28436080  0.71557460  0.03251959  1
  O  O19  1  0.56220427  0.00950444  0.25000717  1
",-2.228519031,15.5379632
752649,"# generated using pymatgen
data_SrNiO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.85392742
_cell_length_b   3.85392742
_cell_length_c   3.83932607
_cell_angle_alpha   89.99210117
_cell_angle_beta   89.99210117
_cell_angle_gamma   90.22416771
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SrNiO3
_chemical_formula_sum   'Sr1 Ni1 O3'
_cell_volume   57.02413804
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sr  Sr0  1  0.50187700  0.49812300  0.00000000  1
  Ni  Ni1  1  0.99132100  0.00867900  0.50000000  1
  O  O2  1  0.50708500  0.99695200  0.51876900  1
  O  O3  1  0.00304800  0.49291500  0.48123100  1
  O  O4  1  0.01549200  0.98450800  0.00000000  1
",-1.739968425,0.0008
1183706,"# generated using pymatgen
data_CeMnO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.92293200
_cell_length_b   3.92293200
_cell_length_c   3.92293200
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CeMnO3
_chemical_formula_sum   'Ce1 Mn1 O3'
_cell_volume   60.37155198
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ce  Ce0  1  0.00000000  0.00000000  0.00000000  1
  Mn  Mn1  1  0.50000000  0.50000000  0.50000000  1
  O  O2  1  0.50000000  0.50000000  0.00000000  1
  O  O3  1  0.50000000  0.00000000  0.50000000  1
  O  O4  1  0.00000000  0.50000000  0.50000000  1
",-2.792029401,5.0220103
505766,"# generated using pymatgen
data_SrCoO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.49434343
_cell_length_b   5.49429747
_cell_length_c   5.49433283
_cell_angle_alpha   60.00007663
_cell_angle_beta   89.99943222
_cell_angle_gamma   119.99999574
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SrCoO3
_chemical_formula_sum   'Sr2 Co2 O6'
_cell_volume   117.28063714
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sr  Sr0  1  0.75000000  0.50000000  0.75000000  1
  Sr  Sr1  1  0.25000000  0.50000000  0.25000000  1
  Co  Co2  1  0.50000000  0.00000000  0.50000000  1
  Co  Co3  1  0.00000000  0.00000000  0.00000000  1
  O  O4  1  0.24999400  0.00000000  0.24999400  1
  O  O5  1  0.75000600  0.00000000  0.75000600  1
  O  O6  1  0.24999500  0.49999100  0.75000400  1
  O  O7  1  0.75000500  0.50000900  0.24999600  1
  O  O8  1  0.24999600  0.00000000  0.75000400  1
  O  O9  1  0.75000400  0.00000000  0.24999600  1
",-1.9179654,0.0008775
1205364,"# generated using pymatgen
data_CaTiO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.41136137
_cell_length_b   5.41136137
_cell_length_c   7.68509595
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.60100907
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CaTiO3
_chemical_formula_sum   'Ca4 Ti4 O12'
_cell_volume   225.02899171
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.51440365  0.48559635  0.25000000  1
  Ca  Ca1  1  0.48559635  0.51440365  0.75000000  1
  Ca  Ca2  1  0.01091858  0.98908142  0.25000000  1
  Ca  Ca3  1  0.98908142  0.01091858  0.75000000  1
  Ti  Ti4  1  -0.00000000  0.50000000  0.50000000  1
  Ti  Ti5  1  -0.00000000  0.50000000  0.00000000  1
  Ti  Ti6  1  0.50000000  -0.00000000  0.50000000  1
  Ti  Ti7  1  0.50000000  -0.00000000  0.00000000  1
  O  O8  1  0.94976066  0.46008287  0.25000000  1
  O  O9  1  0.05023934  0.53991713  0.75000000  1
  O  O10  1  0.53991713  0.05023934  0.25000000  1
  O  O11  1  0.46008287  0.94976066  0.75000000  1
  O  O12  1  0.29119500  0.70880500  0.04402455  1
  O  O13  1  0.70880500  0.29119500  0.54402455  1
  O  O14  1  0.70880500  0.29119500  0.95597545  1
  O  O15  1  0.29119500  0.70880500  0.45597545  1
  O  O16  1  0.20575031  0.20575031  0.00000000  1
  O  O17  1  0.79424969  0.79424969  0.50000000  1
  O  O18  1  0.79424969  0.79424969  0.00000000  1
  O  O19  1  0.20575031  0.20575031  0.50000000  1
",-3.544637565,0.0
4571,"# generated using pymatgen
data_CaZrO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.58500572
_cell_length_b   5.77809678
_cell_length_c   8.01738023
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CaZrO3
_chemical_formula_sum   'Ca4 Zr4 O12'
_cell_volume   258.72650079
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.01354358  0.94804190  0.25000000  1
  Ca  Ca1  1  0.51354358  0.55195810  0.75000000  1
  Ca  Ca2  1  0.48645642  0.44804190  0.25000000  1
  Ca  Ca3  1  0.98645642  0.05195810  0.75000000  1
  Zr  Zr4  1  -0.00000000  0.50000000  0.00000000  1
  Zr  Zr5  1  0.50000000  0.00000000  0.00000000  1
  Zr  Zr6  1  0.50000000  0.00000000  0.50000000  1
  Zr  Zr7  1  -0.00000000  0.50000000  0.50000000  1
  O  O8  1  0.30237482  0.70030789  0.44341551  1
  O  O9  1  0.80237482  0.79969211  0.55658449  1
  O  O10  1  0.19762518  0.20030789  0.05658449  1
  O  O11  1  0.69762518  0.29969211  0.94341551  1
  O  O12  1  0.69762518  0.29969211  0.55658449  1
  O  O13  1  0.19762518  0.20030789  0.44341551  1
  O  O14  1  0.80237482  0.79969211  0.94341551  1
  O  O15  1  0.30237482  0.70030789  0.05658449  1
  O  O16  1  0.60684618  0.04155889  0.25000000  1
  O  O17  1  0.10684618  0.45844111  0.75000000  1
  O  O18  1  0.89315382  0.54155889  0.25000000  1
  O  O19  1  0.39315382  0.95844111  0.75000000  1
",-3.67017507,0.0
3834,"# generated using pymatgen
data_BaZrO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.21238715
_cell_length_b   4.21238715
_cell_length_c   4.21238715
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BaZrO3
_chemical_formula_sum   'Ba1 Zr1 O3'
_cell_volume   74.74546324
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  0.00000000  0.00000000  0.00000000  1
  Zr  Zr1  1  0.50000000  0.50000000  0.50000000  1
  O  O2  1  0.50000000  0.00000000  0.50000000  1
  O  O3  1  0.50000000  0.50000000  0.00000000  1
  O  O4  1  0.00000000  0.50000000  0.50000000  1
",-3.639168969,0.0
