material_id,cif,formation_energy_per_atom,dir_gap
13222,"# generated using pymatgen
data_YReO2F
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.10460908
_cell_length_b   4.10460908
_cell_length_c   4.10460908
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   YReO2F
_chemical_formula_sum   'Y1 Re1 O2 F1'
_cell_volume   69.15369742
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Y  Y0  1  -0.07968461  0.00000000  0.00000000  1
  Re  Re1  1  0.60573371  0.50000000  0.50000000  1
  F  F2  1  0.27651633  0.00000000  0.50000000  1
  O  O3  1  0.62138088  0.50000000  0.00000000  1
  O  O4  1  0.06183969  0.50000000  0.50000000  1
",1.28,0.0
6470,"# generated using pymatgen
data_CaReN2O
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.91401274
_cell_length_b   3.91401274
_cell_length_c   3.91401274
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CaReN2O
_chemical_formula_sum   'Ca1 Re1 N2 O1'
_cell_volume   59.96070140
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.00102446  0.00000000  0.00000000  1
  Re  Re1  1  0.50211724  0.50000000  0.50000000  1
  N  N2  1  0.50199269  -0.00000000  0.50000000  1
  N  N3  1  0.50199269  0.50000000  0.00000000  1
  O  O4  1  0.00199408  0.50000000  0.50000000  1
",0.46,0.0
2764,"# generated using pymatgen
data_KGaNOF
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.15610873
_cell_length_b   4.15610873
_cell_length_c   4.15610873
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   KGaNOF
_chemical_formula_sum   'K1 Ga1 N1 O1 F1'
_cell_volume   71.78946238
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  K  K0  1  0.00110665  0.00000000  0.00000000  1
  Ga  Ga1  1  0.50509031  0.50000000  0.50000000  1
  F  F2  1  0.49990195  0.00000000  0.50000000  1
  N  N3  1  0.49959232  0.50000000  0.00000000  1
  O  O4  1  0.00430964  0.50000000  0.50000000  1
",1.08,0.0
6936,"# generated using pymatgen
data_ScFeN2O
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.98796251
_cell_length_b   3.98796251
_cell_length_c   3.98796251
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ScFeN2O
_chemical_formula_sum   'Sc1 Fe1 N2 O1'
_cell_volume   63.42393768
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  -0.00007336  -0.00000000  -0.00000000  1
  Sc  Sc1  1  0.50597108  0.50000000  0.50000000  1
  N  N2  1  0.49982296  0.00000000  0.50000000  1
  N  N3  1  0.49982296  0.50000000  0.00000000  1
  O  O4  1  0.00475348  0.50000000  0.50000000  1
",2.04,0.0
4620,"# generated using pymatgen
data_KTiNOF
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.35511189
_cell_length_b   4.35511189
_cell_length_c   4.35511189
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   KTiNOF
_chemical_formula_sum   'K1 Ti1 N1 O1 F1'
_cell_volume   82.60340538
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.00029812  0.00000000  0.00000000  1
  K  K1  1  0.50493129  0.50000000  0.50000000  1
  F  F2  1  0.49958671  0.00000000  0.50000000  1
  N  N3  1  0.49997085  0.50000000  0.00000000  1
  O  O4  1  0.00482949  0.50000000  0.50000000  1
",3.42,0.0
2551,"# generated using pymatgen
data_TeOsNO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.07544949
_cell_length_b   4.07544949
_cell_length_c   4.07544949
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TeOsNO2
_chemical_formula_sum   'Te1 Os1 N1 O2'
_cell_volume   67.69031673
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Os  Os0  1  0.00123624  0.00000000  0.00000000  1
  Te  Te1  1  0.50541115  0.50000000  0.50000000  1
  N  N2  1  0.49936375  0.00000000  0.50000000  1
  O  O3  1  0.49976961  0.50000000  0.00000000  1
  O  O4  1  0.00431228  0.50000000  0.50000000  1
",2.3,0.0
8758,"# generated using pymatgen
data_CoTeSO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.18242232
_cell_length_b   4.18242232
_cell_length_c   4.18242232
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CoTeSO2
_chemical_formula_sum   'Co1 Te1 S1 O2'
_cell_volume   73.16167694
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Te  Te0  1  0.11707040  0.00000000  0.00000000  1
  Co  Co1  1  0.52911609  0.50000000  0.50000000  1
  S  S2  1  0.45847064  0.00000000  0.50000000  1
  O  O3  1  0.39192023  0.50000000  0.00000000  1
  O  O4  1  -0.01156857  0.50000000  0.50000000  1
",1.06,0.0
487,"# generated using pymatgen
data_CaPtNO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.00628365
_cell_length_b   4.00628365
_cell_length_c   4.00628365
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CaPtNO2
_chemical_formula_sum   'Ca1 Pt1 N1 O2'
_cell_volume   64.30208927
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.06829305  0.00000000  0.00000000  1
  Pt  Pt1  1  0.52047335  0.50000000  0.50000000  1
  N  N2  1  0.47982287  0.00000000  0.50000000  1
  O  O3  1  0.41934839  0.50000000  -0.00000000  1
  O  O4  1  0.00754250  0.50000000  0.50000000  1
",1.22,0.0
17019,"# generated using pymatgen
data_HfNbN3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.09958033
_cell_length_b   4.09958033
_cell_length_c   4.09958033
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HfNbN3
_chemical_formula_sum   'Hf1 Nb1 N3'
_cell_volume   68.89983822
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.00000000  0.00000000  0.00000000  1
  Hf  Hf1  1  0.50000000  0.50000000  0.50000000  1
  N  N2  1  0.50000000  0.00000000  0.50000000  1
  N  N3  1  0.50000000  0.50000000  0.00000000  1
  N  N4  1  0.00000000  0.50000000  0.50000000  1
",1.54,0.0
12504,"# generated using pymatgen
data_RbWO2F
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.17886089
_cell_length_b   4.17886089
_cell_length_c   4.17886089
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   RbWO2F
_chemical_formula_sum   'Rb1 W1 O2 F1'
_cell_volume   72.97493951
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Rb  Rb0  1  0.00094275  0.00000000  0.00000000  1
  W  W1  1  0.50304906  0.50000000  0.50000000  1
  F  F2  1  0.50081148  0.00000000  0.50000000  1
  O  O3  1  0.50234078  0.50000000  0.00000000  1
  O  O4  1  0.00327934  0.50000000  0.50000000  1
",0.48,0.0
